Date,Symbol,Cap,Sector,Snapshot_Price,RSI,Short_Term_Call,Medium_Term_Call,Long_Term_Call
2026-09-19,ACUTAAS,Small Cap,Healthcare,3440.3,58.6,BUY,BUY,INVESTABLE
2026-09-19,ABFRL,Small Cap,Consumer Services,50.16,36.6,SELL,AVOID,AVOID
2026-09-19,ABLBL,Small Cap,Consumer Services,81.17,29.5,BUY,AVOID,AVOID
2026-09-19,ABREL,Small Cap,Realty,1266.2,35.7,SELL,AVOID,AVOID
2026-09-19,ABSLAMC,Small Cap,Financial Services,1060.4,51.4,BUY,BUY,INVESTABLE
2026-09-19,CPPLUS,Small Cap,Capital Goods,3355.1,37.0,SELL,AVOID,INVESTABLE
2026-09-19,AEGISLOG,Small Cap,Oil Gas & Consumable Fuels,1415.4,60.3,BUY,BUY,INVESTABLE
2026-09-19,AEGISVOPAK,Small Cap,Oil Gas & Consumable Fuels,314.95,69.7,HOLD,BUY,INVESTABLE
2026-09-19,AFCONS,Small Cap,Construction,263.4,41.3,SELL,AVOID,AVOID
2026-09-19,AFFLE,Small Cap,Information Technology,1603.5,50.7,SELL,BUY,INVESTABLE
2026-09-19,ABDL,Small Cap,Fast Moving Consumer Goods,647.6,61.5,BUY,BUY,INVESTABLE
2026-09-19,ARE&M,Small Cap,Automobile and Auto Components,796.0,24.7,BUY,AVOID,AVOID
2026-09-19,AMBER,Small Cap,Consumer Durables,7125.0,42.2,SELL,AVOID,AVOID
2026-09-19,ANANDRATHI,Small Cap,Financial Services,2229.4,61.3,BUY,BUY,INVESTABLE
2026-09-19,ANANTRAJ,Small Cap,Realty,606.15,50.1,SELL,AVOID,INVESTABLE
2026-09-19,ANGELONE,Small Cap,Financial Services,299.1,51.3,BUY,AVOID,INVESTABLE
2026-09-19,ANURAS,Small Cap,Chemicals,1207.7,42.8,SELL,AVOID,AVOID
2026-09-19,APTUS,Small Cap,Financial Services,237.68,28.7,BUY,AVOID,AVOID
2026-09-19,ASAHIINDIA,Small Cap,Automobile and Auto Components,961.05,55.6,BUY,BUY,INVESTABLE
2026-09-19,ASTERDM,Small Cap,Healthcare,755.05,41.4,SELL,AVOID,INVESTABLE
2026-09-19,ATHERENERG,Small Cap,Automobile and Auto Components,1640.0,59.4,BUY,BUY,INVESTABLE
2026-09-19,ATUL,Small Cap,Chemicals,6170.5,38.2,SELL,AVOID,AVOID
2026-09-19,BEML,Small Cap,Capital Goods,2135.0,64.2,BUY,BUY,INVESTABLE
2026-09-19,BLS,Small Cap,Consumer Services,226.5,31.7,BUY,AVOID,AVOID
2026-09-19,BALRAMCHIN,Small Cap,Fast Moving Consumer Goods,672.6,49.5,SELL,BUY,INVESTABLE
2026-09-19,BANDHANBNK,Small Cap,Financial Services,175.0,54.2,BUY,AVOID,INVESTABLE
2026-09-19,BATAINDIA,Small Cap,Consumer Durables,638.3,32.5,BUY,AVOID,AVOID
2026-09-19,BAYERCROP,Small Cap,Chemicals,3779.5,22.2,BUY,AVOID,AVOID
2026-09-19,BELRISE,Small Cap,Automobile and Auto Components,240.18,60.6,BUY,BUY,INVESTABLE
2026-09-19,BIKAJI,Small Cap,Fast Moving Consumer Goods,580.25,47.6,SELL,AVOID,AVOID
2026-09-19,BSOFT,Small Cap,Information Technology,280.4,40.1,SELL,AVOID,AVOID
2026-09-19,BLUEDART,Small Cap,Services,4821.0,36.0,SELL,AVOID,AVOID
2026-09-19,BLUEJET,Small Cap,Healthcare,575.25,50.0,SELL,AVOID,INVESTABLE
2026-09-19,BBTC,Small Cap,Fast Moving Consumer Goods,1512.1,55.7,BUY,BUY,AVOID
2026-09-19,FIRSTCRY,Small Cap,Consumer Services,172.15,33.2,SELL,AVOID,AVOID
